"Name","Bank","Term","NoEmp","NewExist","LowDoc","DisbursementGross","MIS_Status","GrAppv","SBA_Appv","Status","pHat","yHat","Accuracy","TP","TN","FP","FN"
"B & M AUTO PARTS","CDC SMALL BUS. FINAN CORP",300,12,"1","N",174000,"P I F",174000,174000,"1",0.99907763976656,1,1,1,0,0,0
"GOOD EATS CAFE-LEWISVILLE","ALLIANCE LENDING CORPORATION",240,121,"1","N",600000,"P I F",600000,600000,"1",0.998802447764485,1,1,1,0,0,0
"BREDEMUS HARDWARE CO., INC.","ANCHOR BANK NATL ASSOC",84,32,"1","N",250000,"P I F",250000,187500,"1",0.859415475939536,1,1,1,0,0,0
"TRADITIONAL TERRE INC","BANK OF AMERICA NATL ASSOC",84,1,"1","N",65000,"P I F",65000,32500,"1",0.821647476718682,1,1,1,0,0,0
"LASERTRON, INC.","MANUFACTURERS & TRADERS TR CO",100,28,"1","N",200000,"P I F",200000,170000,"1",0.901685837296901,1,1,1,0,0,0
"RENTZ, ROBERT INTERIORS, INC.","JAMES RIVER DEVEL CORP",240,18,"1","N",408000,"P I F",408000,408000,"1",0.995979900321738,1,1,1,0,0,0
"ALCENIA'S DESSERTS & PRESERVES","SUPERIOR FINANCIAL GROUP, LLC",70,3,"1","N",15000,"CHGOFF",15000,12750,"0",0.780128814990167,1,0,0,0,1,0
"WILMINGTON BASEBALL CLUB LLC","CITIZENS BANK NATL ASSOC",84,2,"1","N",10568,"P I F",5000,2500,"1",0.832803164141931,1,1,1,0,0,0
"CHICK-A-DDD ENTERPRISES INC","MID-ATLANTIC BUS. FINAN CO",240,15,"2","N",245000,"P I F",247000,247000,"1",0.995242093685276,1,1,1,0,0,0
"THE ORIGINAL SPIKES","MUFG UNION BANK NATL ASSOC",120,10,"1","N",120000,"P I F",120000,102000,"1",0.926043447344041,1,1,1,0,0,0
"Promise in LA","WILSHIRE BANK",24,2,"1","N",20000,"P I F",20000,10000,"1",0.527513440722666,1,1,1,0,0,0
"BROWNY'S AUTO BODY EXPERTS,","COMERICA BANK",219,3,"1","N",490000,"CHGOFF",490000,367500,"0",0.990161995625833,1,0,0,0,1,0
"CARIBBEAN FOREST","CITIZENS BANK NATL ASSOC",84,3,"1","N",25000,"P I F",25000,12500,"1",0.831055866796177,1,1,1,0,0,0
"VitalDyne, Inc.","ASSOCIATED BANK NATL ASSOC",95,12,"2","N",85000,"P I F",85000,72250,"1",0.855013425617919,1,1,1,0,0,0
"Eurotrans, LLC","COMMERCE BANK",48,2,"1","N",15200,"P I F",15200,7600,"1",0.669371389810928,1,1,1,0,0,0
"CHRISTOPHER K MAUNEY OPTOMETRY","WACHOVIA SBA LENDING, INC.",180,4,"1","N",332400,"P I F",332400,249300,"1",0.977468959059613,1,1,1,0,0,0
"Bobby J. Dalton dba Katie's Cr","THE HUNTINGTON NATIONAL BANK",60,0,"1","N",50938,"CHGOFF",25000,12500,"0",0.728390700767103,1,0,0,0,1,0
"WINGSTOP RESTAURANT","COMPASS BANK",66,4,"2","N",130000,"P I F",130000,97500,"1",0.715079582008885,1,1,1,0,0,0
"ARCHITECTURAL HARDWARE, INC.","COMPASS BANK",120,8,"1","N",290000,"P I F",290000,232000,"1",0.916265547056613,1,1,1,0,0,0
"CAFE SISTERS LLC","PACIFIC CONTINENTAL BANK",180,4,"1","N",111756,"P I F",115000,97750,"1",0.980714793640438,1,1,1,0,0,0
"THE RUTT COLLECTION-A SIGNATUR","WESTAMERICA BANK",156,6,"1","N",125000,"P I F",125000,112500,"1",0.966739384430883,1,1,1,0,0,0
"TWO EAGLES ACTION MEDIA LLC","COMMERCE BANK",60,2,"1","N",30000,"P I F",30000,15000,"1",0.728173189794486,1,1,1,0,0,0
"BIG TRUCK & TRAILER REPAIR INC","SECURITY BANK OF KANSAS CITY",69,5,"2","N",45000,"CHGOFF",49500,44550,"0",0.744025973142541,1,0,0,0,1,0
"DYSON LIFE SAFETY SECURITY SYS","RCB BANK",60,11,"1","N",150000,"P I F",150000,127500,"1",0.740450687938748,1,1,1,0,0,0
"Chic Angelique's LLC","PNC BANK, NATIONAL ASSOCIATION",2,3,"2","N",57876,"CHGOFF",20000,10000,"0",0.361341322683379,0,1,0,1,0,0
"STRATEGIC IMPACT INC","BANK OF AMERICA NATL ASSOC",48,1,"1","N",50290,"P I F",25000,12500,"1",0.668894303719371,1,1,1,0,0,0
"RIGG, LARRY W.","FIRST TENNESSEE BANK NATL ASSO",186,3,"1","N",380000,"P I F",380000,285000,"1",0.979637143746089,1,1,1,0,0,0
"ALICE A. NICHOLSON, ATY AT LAW","JPMORGAN CHASE BANK NATL ASSOC",36,1,"2","N",20000,"P I F",20000,10000,"1",0.552715569216663,1,1,1,0,0,0
"GOOD LUCK TRAVELS, INC","SUPERIOR FINANCIAL GROUP, LLC",104,3,"1","N",12500,"CHGOFF",12500,10625,"0",0.891287666663211,1,0,0,0,1,0
"CERES MIDLAND, INC.","PNC BANK, NATIONAL ASSOCIATION",60,8,"1","N",145000,"P I F",145000,116000,"1",0.731765384153754,1,1,1,0,0,0
"MCREYNOLDS & ASSOCIATES MD'S P","CITIZENS BANK NATL ASSOC",84,9,"1","N",91529,"P I F",45000,22500,"1",0.843453691147775,1,1,1,0,0,0
"LAROSA'S SEVEN HILLS","HAMILTON CNTY DEVEL COMPANY IN",240,32,"1","N",105000,"P I F",105000,105000,"1",0.996924365898099,1,1,1,0,0,0
"Wakaza, Llc","BBCN BANK",61,3,"2","N",25000,"CHGOFF",25000,21250,"0",0.702349433687526,1,0,0,0,1,0
"FRESHIES RESTAURANT AND BAR","COMMUNITY W. BANK NATL ASSOC",120,2,"1","N",200000,"P I F",200000,150000,"1",0.913574555709027,1,1,1,0,0,0
"HAWTHORN SUITES, LTD.","WELLS FARGO BANK NATL ASSOC",317,1,"2","N",1000000,"P I F",1000000,750000,"1",0.998461149709153,1,1,1,0,0,0
"PRO-CON INDUSTRIES INC","BANC OF CALIFORNIA NATL ASSOC",12,1,"1","N",50000,"P I F",50000,25000,"1",0.443252468039684,0,0,0,0,0,1
"SER & ASSOCIATES INC","UNION FIRST MARKET BANK",12,2,"1","N",20000,"P I F",20000,10000,"1",0.453887891976936,0,0,0,0,0,1
"SOUTHEY'S SEAFOOD, INC.","MANUFACTURERS & TRADERS TR CO",120,3,"1","Y",96000,"P I F",96000,81600,"1",0.970515934036104,1,1,1,0,0,0
"YEARS TO GROW DAY SCHOOL, INC.","FIRST NIAGARA BANK NATL ASSOC",120,28,"1","N",50000,"P I F",67500,60750,"1",0.940954472779071,1,1,1,0,0,0
"T.L.C. UNIV.IV OF COLLINGSWOOD","VALLEY NATIONAL BANK",300,10,"1","N",140000,"P I F",140000,126000,"1",0.999045977774111,1,1,1,0,0,0
"STONE BRIDGE EARLY LEARNING CE","FIFTH THIRD BANK",120,4,"2","N",100000,"P I F",100000,85000,"1",0.907414213771135,1,1,1,0,0,0
"VIC ERICKSON'S SUPER-PRO'S","BANK OF IDAHO",84,1,"1","N",70000,"P I F",70000,60760,"1",0.826180661025798,1,1,1,0,0,0
"CLEAN A WAY, INC.","THE HUNTINGTON NATIONAL BANK",60,4,"1","N",25000,"P I F",25000,22500,"1",0.736786990699913,1,1,1,0,0,0
"GOELLNER LAND SERVICES","CITIZENS BANK NATL ASSOC",84,3,"1","N",94290,"P I F",31500,15750,"1",0.837085531606733,1,1,1,0,0,0
"DE LORENZO TIRE & AUTO INC","CALIFORNIA BANK & TRUST",95,10,"1","N",100000,"P I F",100000,50000,"1",0.866887891086508,1,1,1,0,0,0
"KELLY STEEL CO INC","AMISTAD BANK",84,15,"1","Y",64500,"P I F",65000,55250,"1",0.941197485664197,1,1,1,0,0,0
"ALTERNATIVE MACHINE TOOLS SOLU","COMPASS BANK",84,1,"1","N",25000,"P I F",25000,12500,"1",0.827553046184025,1,1,1,0,0,0
"MORTGAGE SOUTH LENDING INC","BBCN BANK",25,6,"1","N",15000,"CHGOFF",15000,12750,"0",0.549032832497273,1,0,0,0,1,0
"BENTO BOX,INC T/A TEAISM","BRANCH BK. & TR CO",84,50,"2","N",350000,"P I F",350000,262500,"1",0.85632098775562,1,1,1,0,0,0
"BELSHE FARM","THE CENTRAL TRUST BANK",120,1,"2","N",285000,"P I F",285000,242250,"1",0.895468721444706,1,1,1,0,0,0
"FISHERS RICK AND DS CAFE","SIX BRIDGES CAP. CORP",240,4,"1","N",157000,"P I F",167000,167000,"1",0.995535775830855,1,1,1,0,0,0
"5 LIL' ANGELS SNACK & TREATS L","CITIZENS BANK NATL ASSOC",84,1,"1","N",29946,"P I F",10000,5000,"1",0.831968815019264,1,1,1,0,0,0
"JERSEY MIKE'S SUBS","BANCFIRST",90,2,"2","N",196905,"P I F",198300,148725,"1",0.808295527980974,1,1,1,0,0,0
"FREEDOM CYROGENICS & TESTING,","METRO BANK, INC.",84,34,"1","N",65000,"P I F",65000,52000,"1",0.876896811260384,1,1,1,0,0,0
"STEVE'S BODY SHOP","CATHAY BANK",120,1,"1","N",140000,"P I F",140000,126000,"1",0.917996258482336,1,1,1,0,0,0
"The Adventure Corporation Prod","MOUNTAIN AMERICA FCU",99,2,"2","N",57491,"CHGOFF",25000,12500,"0",0.857463148609811,1,0,0,0,1,0
"DAVID C BATTERSON    DBA  UNIO","CITIZENS BANK NATL ASSOC",84,1,"1","N",30000,"P I F",30000,15000,"1",0.82682340274196,1,1,1,0,0,0
"DEE'S DELICATESSEN","CAPITAL ONE NATL ASSOC",84,4,"1","N",25000,"P I F",25000,12500,"1",0.832785910303916,1,1,1,0,0,0
"PRAIRIE WOLF HYDROPONIC VEGETA","PIONEER BANK",31,3,"2","Y",74500,"P I F",74500,59600,"1",0.755805605377468,1,1,1,0,0,0
"R&M  AUTO SALVAGE","AMERICAN NATIONAL BANK",180,1,"2","Y",104000,"P I F",104000,88400,"1",0.991502333865065,1,1,1,0,0,0
"VIRGINIA PLASTICS INDUSTRIES I","SUNTRUST BANK",60,2,"2","N",175000,"P I F",175000,131250,"1",0.672123764517167,1,1,1,0,0,0
"CHAMPION SPORTS","BANKERS TRUST COMPANY",36,3,"1","N",20000,"P I F",20000,18000,"1",0.605626788627878,1,1,1,0,0,0
"CASE HANDYMAN SERVICES","BANK OF AMERICA NATL ASSOC",36,5,"2","N",37150,"CHGOFF",25000,12500,"0",0.566049392822956,1,0,0,0,1,0
"FASHION YOU & I","CITIZENS BANK NATL ASSOC",34,1,"2","N",99899,"CHGOFF",100000,50000,"0",0.520166532291979,1,0,0,0,1,0
"THE HUNGRY HORSEMAN GRILL","HSBC BK USA NATL ASSOC",96,25,"1","Y",150000,"CHGOFF",150000,127500,"0",0.958807896257671,1,0,0,0,1,0
"HAYES CARTAGE, LLC","JPMORGAN CHASE BANK NATL ASSOC",84,17,"1","N",133600,"P I F",134100,100575,"1",0.845780300321757,1,1,1,0,0,0
"Dent Ice, LLC","WHITNEY BANK",60,1,"1","N",122900,"P I F",122900,61450,"1",0.706441563782108,1,1,1,0,0,0
"KAYOL INFORMATION TECHNOLOGIES","BANK OF AMERICA NATL ASSOC",32,2,"1","N",55000,"CHGOFF",55000,27500,"0",0.567386143329222,1,0,0,0,1,0
"FRANCIS LAVALLA DMD","CITIZENS BANK NATL ASSOC",84,2,"1","N",47562,"P I F",30000,15000,"1",0.830573148502029,1,1,1,0,0,0
"LONE STAR CONSTRUCTION SUPPLY","WELLS FARGO BANK NATL ASSOC",120,13,"1","N",700000,"P I F",700000,525000,"1",0.896613692909187,1,1,1,0,0,0
"YS Trade Inc.","MANUFACTURERS & TRADERS TR CO",26,2,"1","N",57871,"CHGOFF",50000,25000,"0",0.533704562680921,1,0,0,0,1,0
"HARRY'S RESTAURANT","HOUSTON-GALVESTON AREA LOCAL D",240,16,"1","N",311000,"P I F",311000,311000,"1",0.996003197475406,1,1,1,0,0,0
"AMIRET GRAIN CO.","MINNWEST BANK",12,7,"1","N",550000,"P I F",550000,412500,"1",0.384586314658912,0,0,0,0,0,1
"INTELLI-TRONICS","WELLS FARGO BANK NATL ASSOC",5,1,"1","N",28314,"CHGOFF",20000,10000,"0",0.410266629644522,0,1,0,1,0,0
"MIDWEST CLAIM CONSULTANTS INC","READYCAP LENDING, LLC",71,4,"1","N",294500,"CHGOFF",294500,220875,"0",0.752975525047258,1,0,0,0,1,0
"ROBERT STRAHAN CUSTOM WOODWORK","CITIBANK, N.A.",84,4,"1","N",98750,"P I F",50000,25000,"1",0.834651830308555,1,1,1,0,0,0
"KEYBOARD COUNTRY, INC.","U.S. BANK NATIONAL ASSOCIATION",300,14,"1","N",105000,"P I F",116500,87375,"1",0.999070774185149,1,1,1,0,0,0
"Aaron  Kay Parker","WELLS FARGO BANK NATL ASSOC",84,7,"2","Y",90000,"P I F",90000,76500,"1",0.922722835637931,1,1,1,0,0,0
"Volatus, LLC","MOUNTAIN AMERICA FCU",84,1,"2","N",37462,"CHGOFF",25000,12500,"0",0.801717841515967,1,0,0,0,1,0
"QUALITY TRANSMISSIONS","CAPITAL ONE NATL ASSOC",48,4,"1","N",50000,"CHGOFF",50000,25000,"0",0.666981221945299,1,0,0,0,1,0
"CLEAN MACHINE CAR WASH","U.S. BANK NATIONAL ASSOCIATION",120,1,"1","N",215000,"P I F",215000,172000,"1",0.91300251274786,1,1,1,0,0,0
"POSEIDON INVESTMENT GROUP, LLC","CITIZENS BANK NATL ASSOC",84,10,"1","N",16042,"P I F",40000,20000,"1",0.838250475196519,1,1,1,0,0,0
"D BOOKER ENTERPRISES INC","JPMORGAN CHASE BANK NATL ASSOC",46,1,"1","N",98180,"CHGOFF",50000,25000,"0",0.656284543797873,1,0,0,0,1,0
"Full Function Clothing, LLC.","BANK OF AMERICA NATL ASSOC",84,1,"2","N",10000,"P I F",10000,5000,"1",0.802566631626494,1,1,1,0,0,0
"ANTONIO'S PIZZA","BANK OF AMERICA NATL ASSOC",180,1,"1","N",75000,"P I F",75000,60000,"1",0.980357178553209,1,1,1,0,0,0
"COLONIAL TIRE & BRAKE CTR INC","BANK OF WESTERN MASSACHUSETTS",240,6,"1","N",175000,"P I F",175000,148750,"1",0.995505345282858,1,1,1,0,0,0
"BEST INN & SUITES","COMERICA BANK",300,7,"1","N",400000,"P I F",400000,300000,"1",0.99878697071631,1,1,1,0,0,0
"MILSOB PROPERTIES, INC (oc) &","COMPASS BANK",243,17,"1","N",1240000,"P I F",1240000,930000,"1",0.992415737148665,1,1,1,0,0,0
"THE TEXAS EXPRESS COMPANY","WELLS FARGO BANK NATL ASSOC",11,4,"1","N",20126,"CHGOFF",20000,10000,"0",0.453950164962974,0,1,0,1,0,0
"Pangaea Hair Design, LLC","JOHNSON BANK",84,17,"2","N",225000,"P I F",225000,112500,"1",0.799134439463518,1,1,1,0,0,0
"SUMMIT ANIMAL HOSPITAL, INC.","EVERGREEN BUSINESS CAPITAL",240,6,"2","N",231000,"P I F",231000,231000,"1",0.994719644346378,1,1,1,0,0,0
"EXCEPTIONAL REPORTING SERVICES","JPMORGAN CHASE BANK NATL ASSOC",104,12,"1","N",90166,"P I F",50000,25000,"1",0.900516575123656,1,1,1,0,0,0
"LION INN","FIRST WESTERN SBLC, INC",240,2,"1","N",372600,"P I F",372600,279450,"1",0.994481781075389,1,1,1,0,0,0
"The Wilder Group, LLC","BANK OF AMERICA NATL ASSOC",47,11,"1","N",319219,"CHGOFF",100000,50000,"0",0.706992966031216,1,0,0,0,1,0
"C & S SOLOMON ISLAND ROAD","MID-ATLANTIC BUS. FINAN CO",240,8,"1","N",661000,"P I F",661000,661000,"1",0.995077142207796,1,1,1,0,0,0
"Toyz of New Port, LLC","READYCAP LENDING, LLC",122,2,"2","N",234000,"P I F",234000,175500,"1",0.900543316620617,1,1,1,0,0,0
"CHILDREN'S FITNESS CENTER, INC","JPMORGAN CHASE BANK NATL ASSOC",84,5,"1","N",59096,"P I F",30000,15000,"1",0.836994769145777,1,1,1,0,0,0
"BNL SIGNS INC","FIRST NIAGARA BANK NATL ASSOC",84,1,"2","N",10000,"P I F",10000,5000,"1",0.802566631626494,1,1,1,0,0,0
"HONDACURA AUTO REPAIR","FROST BANK",60,1,"2","Y",60000,"P I F",60000,54000,"1",0.862410626221308,1,1,1,0,0,0
"RICHARD'S ELECTRIC LLC","PNC BANK, NATIONAL ASSOCIATION",60,49,"2","N",25486,"P I F",25000,12500,"1",0.800767942346152,1,1,1,0,0,0
"EBN CARPENTRY AND DRYWALL CORP","BANK OF AMERICA NATL ASSOC",48,25,"1","N",103263,"P I F",50000,25000,"1",0.730464269776843,1,1,1,0,0,0
"STEPHNELL CO","BANK OF AMERICA NATL ASSOC",60,4,"1","N",50000,"P I F",50000,40000,"1",0.733190323186642,1,1,1,0,0,0
"CHOICE HOME CENTER, INC.","COMMUNITY BK OF CHESAPEAKE",180,45,"1","N",630000,"P I F",630000,472500,"1",0.983349733553069,1,1,1,0,0,0
"LAKE TIME LLC","BANK OF THE WEST",240,2,"1","N",515500,"P I F",515500,386625,"1",0.993932368663654,1,1,1,0,0,0
"ABSENT ANSWER","CENTERSTATE BK OF FLORIDA NATL",60,11,"1","N",32000,"P I F",32000,27200,"1",0.752220737159329,1,1,1,0,0,0
"Aim To Please LLC","BANCFIRST",60,3,"2","N",30000,"P I F",30000,15000,"1",0.693485202678856,1,1,1,0,0,0
"HWANG, Y.S. CPA","LOANS FROM OLD CLOSED LENDERS",84,84,"1","Y",39000,"P I F",39000,33930,"1",0.97446617260431,1,1,1,0,0,0
"DND PIZZA, LLC","NEWTEK SMALL BUS. FINANCE INC.",120,9,"1","N",150000,"P I F",150000,127500,"1",0.924090094306988,1,1,1,0,0,0
"TOTAL ACCESS CHARTERED, INC.","BANK - AMERICA NATL ASSOC",60,3,"2","Y",65000,"P I F",65000,52000,"1",0.863980115115494,1,1,1,0,0,0
"PICCADILLY PRESS","READYCAP LENDING, LLC",57,4,"1","N",195000,"CHGOFF",195000,146250,"0",0.697767281771528,1,0,0,0,1,0
"K V TECHNOLOGIES INC","WESTFIELD BANK",84,2,"1","N",284000,"P I F",284000,213000,"1",0.804796767614221,1,1,1,0,0,0
"Corning Auto Center","U.S. BANK NATIONAL ASSOCIATION",84,5,"1","N",45000,"P I F",45000,22500,"1",0.83166270164642,1,1,1,0,0,0
"LITTLE TREASURES SCHOOLHOUSE,","CITIZENS BANK NATL ASSOC",60,11,"1","N",60000,"P I F",60000,30000,"1",0.743855006024764,1,1,1,0,0,0
"GIRLS WHO SURF LLC","BANK OF HAWAII",60,1,"1","N",54426,"P I F",25000,12500,"1",0.731379856410535,1,1,1,0,0,0
"PLAISANCE DEVELOPMENT CORPORAT","BBCN BANK",84,1,"1","N",10000,"P I F",10000,8500,"1",0.830424034457317,1,1,1,0,0,0
"Rajni Moses dba Annie's Enterp","BANK OF AMERICA NATL ASSOC",3,1,"1","N",15000,"P I F",15000,7500,"1",0.398049991200043,0,0,0,0,0,1
"Karl Jones Trucking","BANK OF AMERICA NATL ASSOC",62,1,"1","N",18300,"CHGOFF",12600,6300,"0",0.739719577284168,1,0,0,0,1,0
"Master Nails","BANK OF AMERICA NATL ASSOC",84,2,"1","N",7000,"P I F",7000,3500,"1",0.831896979532954,1,1,1,0,0,0
"FLOATING FLOWERS","FIFTH THIRD BANK",12,15,"1","N",75000,"P I F",75000,56250,"1",0.486549152779123,0,0,0,0,0,1
"SEAGULL AEROSPORTS INC","LAKE ELMO BANK",60,2,"1","N",101229,"P I F",50000,25000,"1",0.732220918126029,1,1,1,0,0,0
"THUNDERING PAWS KENNELS","BREMER BANK NATL ASSOC",54,1,"1","Y",15000,"P I F",15000,12000,"1",0.868480658666033,1,1,1,0,0,0
"LAVELLE-STUBBERUD ASSOC.A CORP","KIRKWOOD BANK AND TRUST CO",90,8,"1","N",150000,"P I F",150000,112500,"1",0.849140321490613,1,1,1,0,0,0
"THE BECKHAM GROUP, INC.","FIFTH THIRD BANK",117,23,"1","N",750000,"P I F",750000,562500,"1",0.898136813119937,1,1,1,0,0,0
"JAMES M CARLSON","CITIZENS BANK NATL ASSOC",25,1,"1","N",41000,"CHGOFF",41000,20500,"0",0.525215924447476,1,0,0,0,1,0
"RENSON AUTOMOTIVE INC.","HERITAGE BANK OF COMMERCE",120,8,"1","N",150000,"P I F",150000,112500,"1",0.921703598923459,1,1,1,0,0,0
"SNOWVILLAGE INN","TD BANK, NATIONAL ASSOCIATION",277,7,"1","N",820000,"P I F",820000,615000,"1",0.997177068017079,1,1,1,0,0,0
"IPE CLIP CO","CITIZENS BANK NATL ASSOC",84,3,"1","N",26000,"P I F",26000,22100,"1",0.832709047973304,1,1,1,0,0,0
"VIDEO EXPRESS","JPMORGAN CHASE BANK NATL ASSOC",180,4,"1","N",90000,"P I F",90000,45000,"1",0.980164727808855,1,1,1,0,0,0
"S&L INDUSTRIAL, INC","BANK OF THE WEST",11,175,"1","N",250000,"P I F",250000,187500,"1",0.856228265969592,1,1,1,0,0,0
"Doty Scientific, Inc.","UMPQUA BANK",300,19,"1","N",623900,"P I F",623900,561510,"1",0.998935706639857,1,1,1,0,0,0
"UR INFOTECH INC","U.S. BANK NATIONAL ASSOCIATION",84,5,"1","N",42284,"P I F",20000,10000,"1",0.837643372615676,1,1,1,0,0,0
"BEEF 'O' BRADY'S","AFB&T, A DIVISION OF",120,1,"1","N",321105,"P I F",321105,234407,"1",0.905144725543117,1,1,1,0,0,0
"DOUGHERTY INSURANCE & FINANCIA","WELLS FARGO BANK NATL ASSOC",120,5,"1","N",821600,"P I F",821600,616200,"1",0.87867422106484,1,1,1,0,0,0
"FAIRWAY FINANCIAL SERVICES,INC","CDC SMALL BUS. FINAN CORP",240,8,"1","N",286000,"P I F",286000,286000,"1",0.995623656844554,1,1,1,0,0,0
"TYNES POULTRY FARM","PEOPLES BANK",180,1,"1","N",412300,"P I F",412300,309225,"1",0.97538740653068,1,1,1,0,0,0
"MT. DUSTAN COUNTRY STORE","CITIZENS BANK NATL ASSOC",60,1,"2","N",10000,"P I F",10000,5000,"1",0.692564389462657,1,1,1,0,0,0
"MINUTEMAN PRESS","EAST WEST BANK",84,2,"1","N",149999,"P I F",150000,127500,"1",0.821601462158121,1,1,1,0,0,0
"D P FREEMAN CONSULTANTS INC","CAPITAL ONE NATL ASSOC",84,2,"1","N",50000,"P I F",50000,25000,"1",0.82566852694199,1,1,1,0,0,0
"DEPLOYMENT PARTNERS INC","WELLS FARGO BANK NATL ASSOC",66,12,"1","N",64500,"P I F",200000,150000,"1",0.739878418110548,1,1,1,0,0,0
"CAVALIER PRODUCTS, INC.","ST. LOUIS LOCAL DEVEL CO",240,35,"1","N",216000,"P I F",216000,216000,"1",0.996930870229808,1,1,1,0,0,0
"Addicted Industries LLC.","COMMUNITY BANK & TRUST",300,1,"2","N",330000,"P I F",330000,247500,"1",0.998505795696129,1,1,1,0,0,0
"Ealy's and Jae's Janitorial Cl","JPMORGAN CHASE BANK NATL ASSOC",120,27,"1","N",68900,"P I F",68900,34450,"1",0.938812652762387,1,1,1,0,0,0
"Azita A. Anissi D.D.S.","MANUFACTURERS & TRADERS TR CO",60,5,"1","N",160000,"P I F",160000,80000,"1",0.708844953642116,1,1,1,0,0,0
"CHARLES H. CONANT DBA BUBBAS H","CAPITAL ONE NATL ASSOC",84,1,"1","N",20000,"P I F",20000,10000,"1",0.828280253894504,1,1,1,0,0,0
"CAL COMMUNICATION SERVICE INC","COMMUNITY W. BANK NATL ASSOC",120,5,"1","N",140000,"P I F",140000,105000,"1",0.919478657388337,1,1,1,0,0,0
"R E C MANUFACTURING CORP","SANTANDER BANK NATL ASSOC",60,25,"1","N",230000,"P I F",100000,50000,"1",0.786244582754015,1,1,1,0,0,0
"HOME FURNITURE & APPLIANCE COM","BANK OF AMERICA NATL ASSOC",63,18,"1","N",751000,"P I F",751000,525700,"1",0.675473055018314,1,1,1,0,0,0
"L SEVEN & CO., INC.","WELLS FARGO BANK NATL ASSOC",120,5,"1","N",50000,"P I F",50000,45000,"1",0.924560938708273,1,1,1,0,0,0
"KAREN BROSCOE DBA ESCO AWARDS","CITIZENS BANK NATL ASSOC",84,2,"2","N",71216,"P I F",25000,12500,"1",0.80790096228615,1,1,1,0,0,0
"FRANKLIN TRUE VALUE HARDWARE","FIRST NATIONAL BANK",120,5,"1","Y",100000,"P I F",100000,80000,"1",0.970958548130476,1,1,1,0,0,0
"UNITED CHECK CASHING","BUSINESS LENDERS, LLC",120,2,"2","N",150000,"P I F",150000,112500,"1",0.901162031389878,1,1,1,0,0,0
"SAXBYS COFFEE","AMERICAN CONTINENTAL BANK",116,1,"2","N",38200,"CHGOFF",38200,32470,"0",0.898396237110834,1,0,0,0,1,0
"RESTORATION ENTERPRISES INC","BANK OF AMERICA NATL ASSOC",84,1,"1","N",20000,"P I F",20000,10000,"1",0.828280253894504,1,1,1,0,0,0
"P.M. ELECTRIC","TIDEWATER BUS. FINANCING CORP",240,19,"1","N",126000,"P I F",126000,126000,"1",0.99636570105392,1,1,1,0,0,0
"MS CHRIS PLAY & LEARN","SUNTRUST BANK",180,1,"1","N",231425,"P I F",231425,173569,"1",0.978127549183962,1,1,1,0,0,0
"Sang Yup Kim and Kyung Sook Ki","BBCN BANK",300,4,"1","N",303000,"P I F",303000,272700,"1",0.998893274600792,1,1,1,0,0,0
"TAUSCHER COMMERCIAL FISHING EN","BUSINESS LENDERS, LLC",87,3,"1","N",100000,"CHGOFF",100000,80000,"0",0.83653711555141,1,0,0,0,1,0
"THE LIGHT AND THE GLORY GALLER","CITIZENS BANK NATL ASSOC",38,1,"1","N",26996,"CHGOFF",30000,15000,"0",0.605756826251947,1,0,0,0,1,0
"LITTLE FOLKS DAYCARE, INC.","WELLS FARGO BANK NATL ASSOC",60,4,"2","N",25000,"P I F",25000,20000,"1",0.699417303622537,1,1,1,0,0,0
"BRONCO SPUR SINCLAIR","WELLS FARGO BANK NATL ASSOC",251,6,"2","N",390000,"CHGOFF",390000,292500,"0",0.995137338041534,1,0,0,0,1,0
"WRITE-OFFS LLC","BANK OF AMERICA NATL ASSOC",9,1,"1","N",29791,"CHGOFF",24900,12450,"0",0.432361480393471,0,1,0,1,0,0
"T.H. APPARELS, INC.","BBCN BANK",96,55,"1","N",250000,"P I F",250000,212500,"1",0.918746335559804,1,1,1,0,0,0
"RELIABLE STAFFING INC","JPMORGAN CHASE BANK NATL ASSOC",84,2,"2","N",25000,"P I F",25000,12500,"1",0.80210034709687,1,1,1,0,0,0
"ARIZONA ACID SPECIALIST, INC.","GREAT WESTERN BANK",36,4,"1","Y",48000,"P I F",48000,43200,"1",0.812914005619999,1,1,1,0,0,0
"SAJHILL INC","JPMORGAN CHASE BANK NATL ASSOC",84,2,"1","N",39527,"P I F",25000,12500,"1",0.830949589752896,1,1,1,0,0,0
"RRIEDRICH GARAGE","SENTRY BANK",300,8,"1","N",450000,"P I F",450000,337500,"1",0.998761222149139,1,1,1,0,0,0
"BRELAND BODY SHOP","TRUSTMARK NATIONAL BANK",5,1,"1","N",10000,"CHGOFF",10000,5000,"0",0.411128378153068,0,1,0,1,0,0
"HARDTECH INC","1ST SOURCE BANK",1,8,"1","N",15000,"P I F",15000,7500,"1",0.407049107548255,0,0,0,0,0,1
"SPORTS CAFE & BAR","BANK OF AMERICA CALIFORNIA N.A",84,15,"1","N",200000,"P I F",200000,170000,"1",0.840470659684177,1,1,1,0,0,0
"OMEGA HARDWOODS, INC.","CAPITAL ONE NATL ASSOC",84,12,"1","N",50000,"P I F",50000,25000,"1",0.842767018683086,1,1,1,0,0,0
"NIKS AUTO INC","THE FIRST STATE BANK",180,6,"1","N",183000,"P I F",183000,155550,"1",0.980553510339829,1,1,1,0,0,0
